smiles,DM,FHM,LP,PKs,RT,SHM,TP,group
CC(C)c1ccccc1N,,,,,,,1,training
CCCCCC(C)OC(=O)COc1ccc(Cl)c2cccnc12,,,0,,0,,,training
CC(C)(C)C(=O)Cl,0,,,,,,,training
Cc1cc(C)c(N)c(C)c1,0,,,,,,1,training
CCCCCC(=O)[O-],,,,,,,0,training
OC(CCl)CCl,0,,,1,,,0,training
O=c1cccc(Cl)[nH]1,,0,,,,,,training
C/N=C(/NCc1cnc(Cl)s1)N[N+](=O)[O-],,,,,0,,,training
CCCN(CCC)C(=O)SCc1ccccc1,1,,,,1,,,test
CCC=CCC(=O)O,,,,,,,1,valid
COC(=O)[C@@]1(Cl)C(Cl)CC[C@]2(C)c3ccc(C(C)C)cc3CC[C@@H]12,,1,1,,1,,,training
CCCCOC(=O)C=CC(=O)OCCCC,0,1,,,,,,training
CSc1nc(NC2CC2)nc(NC(C)(C)C)n1,1,,1,,1,1,,training
O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Nc1ncc(C(F)(F)F)cc1Cl,,,1,,1,1,,training
c1ccc2c(c1)ccc1oc3ccccc3c12,1,,,,,,,training
CCCCCC=CCCCCC,1,,,,,,,training
CC(C)(C)CC(C)(C)c1ccc(O)cc1,1,,,,,,1,training
CC(C)OC(=O)Nc1ccccc1,0,,0,,0,,,training
CCOP(=O)(OCC)OCC,0,0,,,,,,test
O=[N+]([O-])c1cc(Cl)c(Cl)c(Cl)c1Cl,,,,,,,1,valid
O=C(O)c1c(Cl)ccc(Cl)c1O,0,,,,0,,,training
Oc1ccc(Oc2ccc(O)cc2)cc1,,1,,,,,,training
O=c1ssc(Cl)c1Cl,,1,1,,1,,,training
Nc1c(Cl)c(F)[nH]c(=O)c1Cl,,,,,0,,,training
CCOC(=O)CCCCl,,,,,,,1,training
C=CC(C)(O)CCCC(C)CCCC(C)CCCC(C)C,0,,,,,,,training
OCCN1CCNCC1,,0,,,,,,training
C/C=C/C(=O)Oc1c(CCCCCC(C)C)cc([N+](=O)[O-])cc1[N+](=O)[O-],,,1,,1,,,training
CC(NC(=O)c1cc(Cl)cc(Br)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl)C1CC1,,,,,1,,,test
Oc1c(O)c(Br)c(Br)c(Br)c1Br,,,,,,,1,valid
O=[N+]([O-])c1cc(Cl)ccc1Cl,0,,,,,,1,training
Cc1cc(O)ccc1Cl,1,1,,,1,,1,training
CCS(=O)(=O)c1cccnc1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,0,,0,,0,0,,training
Oc1c(Cl)cc(F)cc1Cl,,,,,,,1,training
COc1nc(C)nc(N(C)C(=O)NS(=O)(=O)c2ccccc2C(=O)O)n1,,,,,0,,,training
NC(=O)c1c(Cl)cccc1Cl,0,0,,,0,,,training
C/C=C/C=C/C(=O)O,,,,1,,,,training
O=S(=O)(O)c1cc(-n2nc3ccc4ccccc4c3n2)ccc1/C=C/c1ccccc1,,,,,0,,,training
CC(F)(Cl)Cl,0,,,,,,,test
BrCCc1ccccc1,,,,,,,1,valid
C=CC(=O)CCC,,,,,,,1,training
CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,,,1,,1,,,training
COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,0,,,,0,,,training
CNC(=O)O/N=C(/C)SCCC#N,,,1,,1,,,training
COP(=S)(OC)Oc1ccc(C#N)cc1,1,,,,,,,training
CCOC(=O)C(Cl)Cc1cc(-n2nc(C)n(C(F)F)c2=O)c(F)cc1Cl,,,1,,1,,,training
O=C(Nc1cccc(Cl)c1)OCC#CCCl,1,,,,,,,training
CCCCCCCCOC(=O)C(C)O,,0,,,,,,training
Nc1ccccc1I,,,,,,,1,test
CC(=O)OCCCCCCl,,,,,,,1,valid
CC(C)C(C)O,,,,,,,0,training
